18:37:48 (00:00:06) (chat)  Kate_Rey: алло?
18:37:50 (00:00:09) (chat)  korben___detka: алло?
18:37:50 (00:00:09) (chat)  9_enot_you_not: artgam2ALO artgam2ALO artgam2ALO
18:37:51 (00:00:10) (chat)  Alhimik_92: Твич сволочь выпусти Тёму artgam2Slish
18:37:53 (00:00:11) (chat)  TemnayaChashkaPetrI: Чат, а теперь расскажите мне: на сколько было artgam2Iq20 подписываться сейчас, если завтра в командировку уезжать? LUL
18:37:57 (00:00:15) (chat)  EnJiL: artgam2ALO artgam2ALO
18:37:58 (00:00:16) (chat)  tamagotchi991: твич не болей PurpleStar PurpleStar
18:38:00 (00:00:18) (chat)  Almost_dead_Anatoliy_13: Чат, если кто что качает - перестаньте ! А то скажет чат виноватый ))
18:38:00 (00:00:19) (chat)  archykunica: Алло?
18:38:06 (00:00:24) (chat)  Andjey_Kharkov: Тшшш...Не спугнуть только бы..
18:38:15 (00:00:34) (chat)  Kate_Rey: звук?
18:38:21 (00:00:40) (chat)  TemnayaChashkaPetrI: Стрим пошёл?
18:38:28 (00:00:46) (chat)  Kate_Rey: стрим пошел
18:38:34 (00:00:52) (chat)  jubi_ju: \о/
18:38:36 (00:00:55) (chat)  Kate_Rey: ооо звук
18:38:42 (00:01:01) (chat)  vnikopol: пока на 160 не лагает )
18:38:47 (00:01:06) (chat)  korben___detka: Ну сейчас вроде норм, тьфу-тьфу
18:38:48 (00:01:07) (chat)  coala_MONSTER: @temnayachashkapetri ну, Тему ты поддержал(а) в любом случае, а ещё твич сам тебя переподпишет через месяц, если деньги на карте есть
18:38:58 (00:01:16) (chat)  Almost_dead_Anatoliy_13: ФПС не донесли ))
18:38:58 (00:01:17) (chat)  Kate_Rey: Тема, сейчас вроде всё ок
18:38:59 (00:01:17) (chat)  Andjey_Kharkov: Проблемы в херальной сети твича
18:39:07 (00:01:25) (chat)  Almost_dead_Anatoliy_13: Щя всё норм )
18:39:08 (00:01:27) (chat)  archykunica: Сейчас вроде всё супер
18:39:19 (00:01:38) (chat)  istorik87: всем привет! Тёма доктор айболит) мой комьютер починил!
18:39:31 (00:01:50) (chat)  gwen_devil: 10 сек полет нормальный
18:39:45 (00:02:03) (chat)  Almost_dead_Anatoliy_13: Автосейва у игры нет ?!
18:39:48 (00:02:06) (chat)  ifrit_n12: пока всё норм
18:39:55 (00:02:13) (chat)  TemnayaChashkaPetrI: @coala_monster , вот он... надо его на место поставить, а то это... деньги лишними не бывают, вдруг кушать надо будет, а оно спишет
18:40:05 (00:02:23) (chat)  PaNDaKyPuT: @ArtGamesLP Видел какой подарок Кодзима Норману ридусу прислал?
18:40:06 (00:02:25) (chat)  Nightbot: На разные суммы доната стоят разные оповещения. АЦКИЕ АЛЕРТЫ на 666 и 6666 рублей. . От 50 до 299, от 300 до 499, от 500 до 799, от 800 до 999, от 1000 до 1299, от 1300 и так далее. https://donatepay.ru/don/artgames
18:40:14 (00:02:32) (chat)  Kate_Rey: чат, рассаживаемся тихонько, чтобы не спугнуть artgam2Uknow artgam2Uknow
18:40:26 (00:02:44) (chat)  MaXZzEtrOn: На цыпочках.
18:40:32 (00:02:50) (chat)  coala_MONSTER: @temnayachashkapetri где-то можно отменить, почитай в настройках. Ну и artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns , за подписку)
18:40:34 (00:02:53) (chat)  Almost_dead_Anatoliy_13: @Kate_Rey можно постоять ?!)
18:40:42 (00:03:00) (chat)  EnJiL: artgam2RAGE буууу!
18:40:48 (00:03:06) (chat)  gwen_devil: Ридус мотики любит
18:40:56 (00:03:14) (chat)  korben___detka: Громко не жуем чат, а то снова сломаем!
18:41:03 (00:03:21) (chat)  PaNDaKyPuT: @ArtGamesLP Там Кейс как в игре а внутри консоль, геймпад в стиле DS и всякие приколюхи
18:41:04 (00:03:22) (chat)  Kate_Rey: игрушечный мотик? Jebaited
18:41:04 (00:03:23) (chat)  Nightbot: Наш сервер в ДИСКОРДЕ. Присоединяйттесь: https://discordapp.com/invite/999ZDJs
18:41:11 (00:03:29) (chat)  MaXZzEtrOn: @enjil Тиха! Сейчас поломаешь.
18:41:17 (00:03:35) (chat)  Kate_Rey: @almost_dead_anatoliy_13, Толя, тебе можно всё
18:41:18 (00:03:37) (chat)  TemnayaChashkaPetrI: Вообще я год где-то к Тёмн не заходил, а сейчас с работой и мелочь появилась, поэтому вотъ...
18:41:22 (00:03:40) (chat)  Andjey_Kharkov: А дышать уже можно?
18:41:28 (00:03:47) (chat)  Kate_Rey: @andjey_kharkov, через раз
18:41:32 (00:03:51) (chat)  Almost_dead_Anatoliy_13: @Kate_Rey даже паника ?!))
18:41:43 (00:04:02) (chat)  EnJiL: @maxzzetron, не, вроде не реагирует LUL
18:41:59 (00:04:17) (chat)  MaXZzEtrOn: @enjil ThankEgg
18:42:04 (00:04:22) (chat)  Nightbot: Записи стримов на Ютубе тут https://www.youtube.com/channel/UCGxQiNmp179gIJRCs47IRRg
18:42:06 (00:04:24) (chat)  korben___detka: artgam2Scared artgam2Scared artgam2Scared
18:42:09 (00:04:28) (chat)  Kate_Rey: это было громоко
18:42:09 (00:04:28) (chat)  xJusTin8x: WutFace WutFace
18:42:10 (00:04:29) (chat)  NiteDunmer: artgam2AGHeavyHorns artgam2Demon artgam2AGHeavyHorns
18:42:12 (00:04:31) (chat)  PaNDaKyPuT: Я бы ссыль на пост в твиттере мог скинуть, если кому интересно
18:42:13 (00:04:31) (chat)  coala_MONSTER: @temnayachashkapetri а у тебя успела отобразиться подписка?
18:42:13 (00:04:31) (chat)  setflower: омагад чё так жеско
18:42:15 (00:04:33) (chat)  EnJiL: обсравсь artgam2Scared
18:42:16 (00:04:34) (chat)  MaXZzEtrOn: @artgameslp Так что это было?
18:42:20 (00:04:38) (chat)  Kate_Rey: @almost_dead_anatoliy_13, Толя, ну наглей
18:42:31 (00:04:49) (chat)  Almost_dead_Anatoliy_13: Мой желудок спугнул ))
18:42:32 (00:04:50) (chat)  vnikopol: надо построить еще
18:42:45 (00:05:04) (chat)  Kate_Rey: вопрос
18:42:53 (00:05:11) (chat)  TemnayaChashkaPetrI: @coala_monster , как я понял нет SeriousSloth
18:43:03 (00:05:22) (chat)  Nightbot: Команды для бота в нашем чате: !time !game !youtube !vk !discord !alert
18:43:07 (00:05:25) (chat)  vnikopol: попробйуц пррыгнуть на машине
