16:59:25 (00:00:10) (chat)  svh_kalmar: BSUFlick
16:59:27 (00:00:11) (chat)  LLIAX__: не опоздал
16:59:27 (00:00:11) (chat)  Roorm: @ellafa, Всегда.
16:59:27 (00:00:11) (chat)  Vikylia1: Clap
16:59:27 (00:00:11) (chat)  ktarki: wlgPizza wlgPizza wlgPizza bufaKojimaGenius bufaKojimaGenius
16:59:27 (00:00:11) (chat)  TheDrHax: NoWay
16:59:29 (00:00:13) (chat)  great_goodwin: Семпай, выходи)
16:59:29 (00:00:14) (chat)  BlackStas: штож, тогда всем приятного просмотра bufaLove bufaLove bufaLove bufaLove
16:59:35 (00:00:19) (chat)  Albatros128: bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius
16:59:36 (00:00:20) (chat)  Roorm: Pog Пошло
16:59:36 (00:00:21) (chat)  Barvinskiy: Почалось
16:59:38 (00:00:23) (chat)  Mozzarell: bufaZlo bufaZlo bufaZlo
16:59:39 (00:00:23) (chat)  MegalodonTallinn: Чпоньк)))
16:59:41 (00:00:25) (chat)  TheDrHax: monkaEyes
16:59:43 (00:00:27) (chat)  GraciSL: Дратути, Чад dinablinH Стримлер dinablinH Чо делаете? bufaLittleNinya annkraHello
16:59:44 (00:00:28) (chat)  absurd909: ура
16:59:46 (00:00:30) (chat)  Daredo_: monkaSSS
16:59:46 (00:00:30) (chat)  SalmySenpai: Zappa
16:59:48 (00:00:33) (chat)  morlock871: объясните плиз, почему Аптип?
16:59:50 (00:00:34) (chat)  ciliamfate: WutFace WutFace WutFace
16:59:50 (00:00:34) (chat)  Mozzarell: bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius
16:59:50 (00:00:35) (chat)  alter_67: BSURage
16:59:54 (00:00:39) (chat)  Bogratova: @morlock871 ну так вместе будете сидеть, лопать вкусное и деградировать)
16:59:54 (00:00:39) (chat)  StreamElements: BlackUFA is now live! Streaming Death Stranding: I'm a little ГРУЗЧИК, you know | DEATH STRANDING Марафон [HARD]
16:59:56 (00:00:40) (chat)  Void_Soul__: Про бэксит лож, говорят, он полезный Kappa
16:59:59 (00:00:44) (chat)  hadds0n: BSURage
17:00:02 (00:00:46) (chat)  Kubanod77: Дарова чат
17:00:02 (00:00:47) (chat)  Daredo_: CatEyes
17:00:03 (00:00:47) (chat)  yarnys: monkaSHAKE
17:00:04 (00:00:49) (chat)  alter_67: bufaLewd bufaLewd bufaLewd
17:00:04 (00:00:49) (chat)  absurd909: HandsUp
17:00:08 (00:00:53) (chat)  Kubanod77: Смотрю стрим на работе, а кто где?
17:00:10 (00:00:55) (chat)  Nightbot: Архив трансляций на юпупе: https://www.youtube.com/user/BlackSilverChannel
17:00:12 (00:00:57) (chat)  jornie_maikeru: bufaLewd
17:00:13 (00:00:57) (chat)  Lord_Manhon: Всех с подключением к хиральному стриму bufaKojimaGenius
17:00:14 (00:00:58) (chat)  ciliamfate: monkaCHRIST
17:00:14 (00:00:58) (chat)  Albatros128: @morlock871, это если написать Артур латиницей - Aptyp
17:00:15 (00:01:00) (chat)  Roorm: @gracisl, KonCha bufaKojimaGenius
17:00:15 (00:01:00) (chat)  TheDrHax: monkaSSS
17:00:16 (00:01:00) (chat)  Zmeigo: всем бобрааа я в дровааа
17:00:19 (00:01:03) (chat)  ATARY124: HeyGuys
17:00:21 (00:01:06) (chat)  Ananassya: ariW
17:00:22 (00:01:06) (chat)  ciliamfate: 4221
17:00:23 (00:01:08) (chat)  Phe0wlniX: monkaSHAKE MedTime monkaSHAKE MedTime monkaSHAKE MedTime
17:00:24 (00:01:08) (chat)  great_goodwin: bufa4221
17:00:27 (00:01:11) (chat)  Albatros128: BSUFlick
17:00:27 (00:01:11) (chat)  Sangrill: еееее
17:00:28 (00:01:13) (chat)  Creckvrn: привет чат
17:00:29 (00:01:13) (chat)  uN1xoid: BSURage
17:00:29 (00:01:13) (chat)  Daredo_: TaBeRu
17:00:29 (00:01:14) (chat)  GraciSL: @Bogratova драатути annkraHello dinablinLyba bufaLittleNinya
17:00:34 (00:01:18) (chat)  Zmeigo: @albatros128 bufaPride Squid4
17:00:34 (00:01:18) (chat)  PossiblyBlank: bufa4221 bufa4221
17:00:41 (00:01:25) (chat)  naitreid36: bufa4221 bufa4221 bufa4221
17:00:41 (00:01:26) (chat)  Moon_Knightly: monkaW
17:00:42 (00:01:27) (chat)  pulsar333: BSUStr
17:00:43 (00:01:27) (chat)  blackoren56: всем привет StrawBeary StrawBeary StrawBeary
17:00:43 (00:01:28) (chat)  Albatros128: @zmeigo, bufaLove MercyWing2
17:00:44 (00:01:28) (chat)  Icecord: итить страшная превьюшка
17:00:44 (00:01:28) (chat)  bernariym: HeyGuys
17:00:45 (00:01:29) (chat)  morlock871: ну че народ, погнали наааа, штопаный кроооот!
17:00:45 (00:01:30) (chat)  Ananassya: @Albatros128 pepeL
17:00:48 (00:01:32) (chat)  Bogratova: TaBeRu боже, мурашки от этой темы
17:00:49 (00:01:33) (chat)  Gutssword: hi
17:00:49 (00:01:33) (chat)  aleera_alran: привет чат HeyGuys
17:00:52 (00:01:37) (chat)  AVsteal: PogChamp
17:00:52 (00:01:37) (chat)  blackoren56: bufa4221 bufa4221 bufa4221
17:00:53 (00:01:37) (chat)  TvetO4ek: jonCorn
17:00:54 (00:01:38) (chat)  TheDrHax: monkaStare
17:00:54 (00:01:38) (chat)  WiseDolphin321: алло
17:00:54 (00:01:38) (chat)  Bogratova: @GraciSL ConcernDoge / <3
17:00:55 (00:01:40) (chat)  feror_123: привет
17:00:58 (00:01:42) (chat)  Albatros128: @ananasstasia, bufaLove MercyWing2
17:00:58 (00:01:43) (chat)  DukeFleedTW: Привет чат! bufaLove
17:00:59 (00:01:44) (chat)  Daredo_: OMEGABSU
17:01:00 (00:01:45) (chat)  Serchgachi: PogChamp
17:01:01 (00:01:45) (chat)  metraivanov: Привет
17:01:02 (00:01:46) (chat)  avtomaton: Вы готовы, дети?
17:01:02 (00:01:47) (chat)  Aernheim: погнали!
17:01:04 (00:01:49) (chat)  touchresponce: аллодратути
17:01:07 (00:01:51) (chat)  frusyazavra: ееей!!! dwillisHi
17:01:07 (00:01:51) (chat)  Nightbot: Хочешь стать частью самого дружелюбного Discord-сообщества на твиче? (6000+ сексуальных людей!) Вступай в наш клуб: https://discordapp.com/invite/bsndw
17:01:07 (00:01:52) (chat)  randevull: опять сидеть у этого стримера 10 часов BibleThump BibleThump BibleThump
17:01:08 (00:01:53) (chat)  TheDrHax: bufaLittleNinya
17:01:11 (00:01:55) (chat)  naitreid36: bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius
17:01:13 (00:01:57) (chat)  Jipegass: POGGERS
17:01:13 (00:01:57) (chat)  Bogratova: аахахахах
17:01:13 (00:01:58) (chat)  Void_Soul__: 4Head /
17:01:14 (00:01:58) (chat)  Mozzarell: bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius
17:01:14 (00:01:59) (chat)  Daredo_: PepoDance PepoDance PepoDance
17:01:14 (00:01:59) (chat)  yarnys: LUL
17:01:15 (00:01:59) (chat)  in___memoriam: хай
17:01:15 (00:02:00) (chat)  ToniVinhan: ку
17:01:16 (00:02:00) (chat)  GraciSL: dinablinChamp dinablinChamp dinablinChamp dinablinChamp dinablinChamp Вот это АААРТ
17:01:16 (00:02:00) (chat)  Albatros128: Литл грузчик!
17:01:16 (00:02:01) (chat)  maemicorvo: эта музыка просто опупительна
17:01:17 (00:02:01) (chat)  KeylorReyzer: ням ням ням, где червячки?
17:01:18 (00:02:02) (chat)  svh_kalmar: bufaLittleNinya bufaDumb bufaLittleNinya bufaDumb bufaLittleNinya bufaDumb
17:01:19 (00:02:04) (chat)  lork28: Всем доброго дня bufaDonAptypo lirikHEY
17:01:19 (00:02:04) (chat)  alter_67: bufaLittleNinya
17:01:20 (00:02:04) (chat)  irikost: FeelsAmazingMan FeelsAmazingMan FeelsAmazingMan FeelsAmazingMan FeelsAmazingMan FeelsAmazingMan FeelsAmazingMan FeelsAmazingMan
17:01:20 (00:02:04) (chat)  MaxOfWar: Привет ребята!
17:01:20 (00:02:04) (chat)  EllaFa: О, литил грузчик,ю ноу
17:01:21 (00:02:05) (chat)  Late_to_drink_Borjomi: а где диванная леди
17:01:22 (00:02:06) (chat)  iMrPerezz: qq
17:01:22 (00:02:06) (chat)  Roorm: Всем кто подходит ПРИВЕТИК <3 <3 <3 TakeNRG bufaLove
17:01:22 (00:02:06) (chat)  ArieX3: HeyGuys
17:01:25 (00:02:09) (chat)  zakurionok: доброго времени суток чатик
17:01:26 (00:02:10) (chat)  Bogratova: bufaLittleNinya bufaLittleNinya bufaLittleNinya bufaLittleNinya bufaLittleNinya
17:01:27 (00:02:11) (chat)  MENGAME: bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius bufaLove bufaLove bufaLove bufaLove bufaLove bufaLove
17:01:27 (00:02:11) (chat)  nagarashi_aino: LULWW LULWW
17:01:27 (00:02:11) (chat)  eidesent: о, какая красивая заставка!
17:01:27 (00:02:12) (chat)  TheDrHax: bufaDumb
17:01:27 (00:02:12) (chat)  zeitgeistxxl: А у вас ББ сбежал bufaZlo
17:01:27 (00:02:12) (chat)  Anuban: !time
17:01:28 (00:02:12) (chat)  Nightbot: Передаем в СВЧ-диапазоне уже 2 minutes 23 seconds
17:01:28 (00:02:12) (chat)  DrifterWWE: Йоу!
17:01:29 (00:02:13) (chat)  SLim7032: Pog
17:01:29 (00:02:13) (chat)  Greenbekas: bufaKojimaGenius bufaLittleNinya bufaKojimaGenius bufaLittleNinya bufaKojimaGenius
17:01:30 (00:02:14) (chat)  ACATOP: артур похудел
17:01:32 (00:02:16) (chat)  bernariym: Скорее, я почти все съела до начала ахахах
17:01:32 (00:02:16) (chat)  rina_rosche: bufaLove bufaLove bufaLove
17:01:32 (00:02:16) (chat)  Kinni_Winni: всю ночь таскал ящики......во сне)
17:01:33 (00:02:17) (chat)  Daredo_: OMEGABSU OMEGABSU OMEGABSU pepeJAM pepeJAM
17:01:34 (00:02:18) (chat)  KhakiSnake: VoHiYo VoHiYo VoHiYo VoHiYo
17:01:35 (00:02:19) (chat)  Ananassya: @k pepeJAM
17:01:35 (00:02:20) (chat)  Direxfull: pepeJAM
17:01:36 (00:02:20) (chat)  heavyrayx: охюльтильное начало стрема
17:01:36 (00:02:21) (chat)  LLIAX__: bufaKojimaGenius bufaLittleNinya bufaKojimaGenius bufaLittleNinya bufaKojimaGenius bufaLittleNinya
17:01:37 (00:02:21) (chat)  object13: привет
17:01:39 (00:02:24) (chat)  vladiskor_tw: Ало чад
17:01:39 (00:02:24) (chat)  AVsteal: Kappa
17:01:40 (00:02:24) (chat)  live_marcess: MercyWing1 MercyWing2
17:01:41 (00:02:25) (chat)  irikost: ахахахахах
17:01:41 (00:02:25) (chat)  tvoy_luchshiy_kofe: <3 <3 <3 <3
17:01:41 (00:02:26) (chat)  GraciSL: bufaLittleNinya bufaLittleNinya bufaLittleNinya bufaLittleNinya bufaLittleNinya bufaLittleNinya bufaLittleNinya
17:01:42 (00:02:26) (chat)  ya_dmitry_ru: CurseLit CurseLit CurseLit
17:01:43 (00:02:28) (chat)  forty42two: bigBossSalut
17:01:44 (00:02:28) (chat)  hifromkyiv: Хиральное здравствуйте, чатик
17:01:44 (00:02:28) (chat)  ing_lorious: Урааа
17:01:44 (00:02:28) (chat)  Sangrill: какая же музыка! кодзима гений!
17:01:44 (00:02:29) (chat)  Lord_Manhon: bufaDumb
17:01:45 (00:02:29) (chat)  TheDrHax: OMEGABSU
17:01:45 (00:02:30) (chat)  SLim7032: pepeJAM pepeJAM pepeJAM pepeJAM
17:01:45 (00:02:30) (chat)  KeylorReyzer: Литтл Мистер Грузчик OSFrog
17:01:46 (00:02:31) (chat)  naitreid36: bufaLittleNinya bufaLittleNinya bufaLittleNinya bufaLittleNinya
17:01:50 (00:02:35) (chat)  Daredo_: pepeJAM
