03:33:55 (00:00:00) (comm)  S1mplerV: !гз
20:33:31 (00:01:38) (chat)  Curly_lolliPoP: @WELOVEGAMES https://clips.twitch.tv/GlutenFreeInnocentApplePupper
20:33:41 (00:01:49) (chat)  AlikinNekit: приве
20:33:47 (00:01:54) (chat)  musicbyrouge: Всем привет! wlgLuv wlgPled
20:33:51 (00:01:59) (chat)  graaaanet: wlg5 wlg5 wlg5 wlg5
20:33:51 (00:01:59) (chat)  ArmanK11: Hi
20:34:00 (00:02:07) (chat)  sabotag_e: VoHiYo
20:34:00 (00:02:07) (chat)  Mutabor_Shooter: KoolDoge
20:34:03 (00:02:10) (chat)  Dimka90: Всем привет. wlg5 wlg5 wlg5
20:34:05 (00:02:12) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
20:34:05 (00:02:12) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5
20:34:08 (00:02:15) (chat)  Nicothin: wlg5 wlg5 wlg5 wlg5
20:34:09 (00:02:16) (chat)  lemnian: wlg5 wlg5 wlg5 wlg5
20:34:11 (00:02:18) (chat)  musicbyrouge: wlg5 wlg5 wlg5
20:34:11 (00:02:19) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
20:34:12 (00:02:20) (chat)  DokerStim: wlg5 wlg5 wlg5 wlg5 wlg5
20:34:12 (00:02:20) (chat)  KURT_KD: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlgF wlgF wlgF wlgF wlgF wlgF wlgF wlgF
20:34:13 (00:02:21) (chat)  dobryi_cot: Привет wlg5
20:34:22 (00:02:29) (chat)  artyom5585: HeyGuys
20:34:30 (00:02:37) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
20:34:30 (00:02:37) (chat)  hupasik: wlg5 wlg5 wlg5 wlg5
20:34:39 (00:02:46) (chat)  Nicothin: @kurt_kd, wlgHype
20:34:39 (00:02:47) (chat)  abesolon: Привет вем!! wlg5 wlg5 wlg5 wlg5 wlg5
20:34:40 (00:02:47) (chat)  Mutabor_Shooter: KoolDoge KoolDoge
20:34:41 (00:02:49) (chat)  Vahapet: wlgCheers
20:34:47 (00:02:54) (chat)  av_ve: wlgHype wlgHype wlgHype wlgHype
20:34:49 (00:02:56) (chat)  Nicothin: wlgDance
20:34:56 (00:03:03) (chat)  dilvot: bjornBegee
20:34:58 (00:03:06) (chat)  ULItochka_Games: Дратути ulitocHi
20:35:04 (00:03:12) (chat)  KURT_KD: @dimka90 @mutabor_shooter @nicothin @vahapet wlg5 wlgF wlgMug
20:35:08 (00:03:15) (chat)  dilvot: Привет всем bjornGasm bjornLapa
20:35:10 (00:03:17) (chat)  wlgboy: информация об игровых релизах в сентябре: https://vk.cc/9M1a8T
20:35:13 (00:03:20) (chat)  Respya: Всем добрый вечер! FutureMan TPFufun
20:35:14 (00:03:21) (chat)  Nakrasomah: wlg5 wlg5
20:35:16 (00:03:24) (chat)  KURT_KD: @av_ve wlg5 wlg5 wlg5 wlgEz
20:35:20 (00:03:27) (chat)  Mutabor_Shooter: @KURT_KD wlg5 wlg5 wlg5
20:35:24 (00:03:31) (chat)  PriSmerti: всем привет! wlg5
20:35:24 (00:03:31) (chat)  STEELor47: привет всем
20:35:27 (00:03:35) (chat)  Nicothin: wlgCheers
20:35:32 (00:03:39) (chat)  av_ve: @KURT_KD wlg5
20:35:32 (00:03:39) (chat)  Dimka90: @KURT_KD wlg5 wlgPled wlgPled
20:35:34 (00:03:42) (chat)  Mutabor_Shooter: @dilvot wlg5 wlg5 wlg5 wlg5
20:35:35 (00:03:42) (chat)  dilvot: bjornEstus bjorn0Head
20:35:40 (00:03:47) (chat)  KURT_KD: @hupasik wlg5 wlgF @steelor47 wlg5 wlgF wlgPeka wlgPeka
20:35:43 (00:03:50) (chat)  Joker_Smith: wlg5
20:35:46 (00:03:54) (chat)  dilvot: @Mutabor_Shooter Привет bjornPled
20:35:50 (00:03:57) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
20:35:53 (00:04:00) (chat)  KOP0BKA: Привет всем KonCha TwitchUnity
20:35:53 (00:04:01) (chat)  Vlissa_jin: wlgDance wlgDance wlgDance
20:35:57 (00:04:05) (chat)  KURT_KD: @joker_smith wlg5 wlgF wlgPeka wlgEz
20:36:01 (00:04:09) (chat)  Vlissa_jin: Всем привет wlgLuv
20:36:02 (00:04:09) (chat)  Nicothin: @vlissa_jin, wlg5
20:36:04 (00:04:12) (chat)  vinogradnyi_lis: wlg5 wlg5 wlg5
20:36:08 (00:04:15) (chat)  Vlissa_jin: @nicothin wlgLuv
20:36:10 (00:04:17) (chat)  EMOBLAZE: @Vlissa_jin wlg5 wlgLuv
