03:25:12 (00:00:00) (comm)  prizm199: ьр
14:51:17 (00:00:24) (comm)  hvatman: !inv
22:58:07 (00:01:29) (chat)  princessintears: wlgHype wlgHype wlgHype
22:58:16 (00:01:39) (chat)  MASH1RRO: OWL2019DVa OWL2019DVa OWL2019DVa OWL2019DVa mash1rChSW
22:58:19 (00:01:41) (chat)  Estirada: wlgLuv wlgLuv wlgLuv
22:58:24 (00:01:46) (chat)  Slimoff: wlgLuv wlgPled wlg5 wlg5 всем привет
22:58:24 (00:01:46) (chat)  flashstriker12: Салам
22:58:24 (00:01:47) (chat)  Maelochka: wlgHype wlgHype wlgHype
22:58:25 (00:01:47) (chat)  slimgruv: ку
22:58:25 (00:01:47) (chat)  selenium47: Здравствуйте
22:58:27 (00:01:49) (chat)  princessintears: bongoTap
22:58:35 (00:01:58) (chat)  NuclearThreatTeam: wlg5 wlg5 wlgLuv
22:58:36 (00:01:58) (chat)  GEORGE_FITT: wlgHype wlgHype wlgHype
22:58:39 (00:02:01) (chat)  wisemars: Террария будет?
22:58:40 (00:02:03) (chat)  xan_46: blobDance
22:58:41 (00:02:03) (chat)  flashstriker12: Трансформеры играет?
22:58:41 (00:02:03) (chat)  Kadanaq: Аллооо
22:58:42 (00:02:04) (chat)  moroz61: wlg5 wlgDuck
22:58:42 (00:02:04) (chat)  slimgruv: как дела?
22:58:43 (00:02:05) (chat)  kvasniydwarf: Привет!
22:58:44 (00:02:06) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
20:21:17 (00:02:08) (comm)  Do4ka1: !wastlend
22:58:45 (00:02:08) (chat)  asmodey935: wlg5 wlg5 wlg5 wlg5 wlg5
22:58:48 (00:02:11) (chat)  bZdiggeR: wlg5
22:58:49 (00:02:12) (chat)  ULItochka_Games: ulitocHi
22:58:50 (00:02:12) (chat)  pachkazvizdulei: привет
22:58:50 (00:02:13) (chat)  nyuton_0: 0_0
22:58:54 (00:02:17) (chat)  kirillraw: usyaKy usyaKy usyaKy
22:58:56 (00:02:19) (chat)  SliZio: HeyGuys
22:58:57 (00:02:20) (chat)  MASH1RRO: Только сабов читает mash1rChSW mash1rChSW Kappa
22:58:58 (00:02:21) (chat)  princessintears: bongoTap bongoTap
22:59:00 (00:02:23) (chat)  Bogda123: bogda1Hi bogda1Hi bogda1Hi bogda1Hi bogda1Hi
22:59:03 (00:02:25) (chat)  TITAN_GRAND: Денис привет!!!!!!!!
22:59:04 (00:02:26) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
22:59:11 (00:02:33) (chat)  santimentorr: Всем привет, чатик wlgLuv Денис, добрый вечер @welovegames
22:59:15 (00:02:37) (chat)  BroTheR_BaD: Привет, спасибо за стримы, + уважение
22:59:17 (00:02:39) (chat)  al_yatashir: Добрый вечер, Убежище wlgF
22:59:24 (00:02:47) (chat)  onechelo: @WELOVEGAMES давай в Cube World
22:59:27 (00:02:49) (chat)  Shveiq: wlg5 Всем добрейшего времени уток!)
22:59:29 (00:02:52) (chat)  princessintears: всем привет bongoTap <3
22:59:31 (00:02:53) (chat)  Darkys120: всем привет VoHiYo
22:59:32 (00:02:54) (chat)  SupDmitry: zzzHi
22:59:34 (00:02:56) (chat)  WinterM00n: wlg5 wlg5 wlg5
22:59:34 (00:02:56) (chat)  wisemars: @WELOVEGAMES Привет, Террария будет?
22:59:34 (00:02:56) (chat)  Oksancik_Kruosancik: добрый вечер @welovegames
22:59:35 (00:02:58) (chat)  moroz61: @WELOVEGAMES игру про гуся wlgDuck
22:59:37 (00:02:59) (chat)  Niatar: Здравствуйте
22:59:39 (00:03:01) (chat)  textolite: Всем wlg5 wlg5 wlg5 wlg5 wlg5
22:59:40 (00:03:02) (chat)  Oksancik_Kruosancik: привет денис
22:59:40 (00:03:02) (chat)  bZdiggeR: bZdiggeR subscribed at Tier 1. They've subscribed for 59 months! я конечно не гхк с шестидесяткой...
22:59:40 (00:03:02) (chat)  voron_s_nojom: CoolStoryBob
22:59:40 (00:03:02) (chat)  wlgboy: @bZdiggeR вы продлили гражданство Убежища. Вам выдано 500 крышечек и 20 слотов в инвентаре.
22:59:42 (00:03:04) (chat)  WinterM00n: та та да, та та да!
22:59:42 (00:03:05) (chat)  Maelochka: wlgLuv wlgLuv wlgLuv
22:59:43 (00:03:05) (chat)  Kadanaq: Скайрим для Нордов!
22:59:43 (00:03:06) (chat)  alenafff: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
22:59:44 (00:03:06) (chat)  wlgboy: информация об игровых релизах в сентябре: https://vk.cc/9M1a8T
22:59:45 (00:03:08) (chat)  al_yatashir: wlg5 wlg5 wlg5 wlg5
22:59:47 (00:03:10) (chat)  Maelochka: wlg5 wlg5 wlg5 wlg5
22:59:48 (00:03:10) (chat)  princessintears: wlgLuv wlgLuv
22:59:54 (00:03:16) (chat)  MASH1RRO: !followage
22:59:56 (00:03:18) (chat)  Nightbot: MASH1RRO has been following WELOVEGAMES for 4 years, 4 months, 3 weeks, 2 hours, 57 minutes, 39 seconds
22:59:58 (00:03:20) (chat)  doc_july_urology: Ееееее))всем доброго морозного вечерочка!))
23:00:00 (00:03:22) (chat)  princessintears: !wasteland
23:00:00 (00:03:22) (chat)  wlgboy: @princessintears вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 37 минут.
23:00:01 (00:03:23) (chat)  NuclearThreatTeam: wlg5 wlg5 wlg5 wlg5
23:00:02 (00:03:24) (chat)  IcathianCatty: всем доброго вечерочка!
23:00:04 (00:03:26) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
23:00:07 (00:03:30) (chat)  Mrs_Christ: Ой как ты близко @WELOVEGAMES
23:00:08 (00:03:30) (chat)  wolf0303: всем привет
23:00:10 (00:03:32) (chat)  bigbadtarlo: бя как?
23:00:10 (00:03:32) (chat)  jDreamcatcher: jDreamcatcher subscribed at Tier 1. 
23:00:10 (00:03:33) (chat)  wlgboy: @jDreamcatcher документы на гражданство Убежища успешно оформлены! Вам выдано 500 крышечек и 1 слот в инвентаре.
23:00:11 (00:03:33) (chat)  Sweetiepie66: Всем привет wlg5
23:00:16 (00:03:38) (chat)  Mrs_Christ: wlg5 wlg5 wlg5
23:00:17 (00:03:39) (chat)  al_yatashir: wlg5 wlg5 wlg5
23:00:19 (00:03:41) (chat)  GlebBio: Доброго вечера )) dangarLove roddLove wlgFlowers dangarLove roddLove wlgFlowers
23:00:19 (00:03:42) (chat)  wolf0303: wlg5 wlg5 wlg5 wlg5
23:00:20 (00:03:42) (chat)  santimentorr: wlg5 wlg5 wlg5 wlg5 wlgF
23:00:20 (00:03:42) (chat)  asmodey935: @WELOVEGAMES Привет Дэн!Surge 2 было бы круто чекнуть wlgPeka wlgOralb
23:00:23 (00:03:45) (chat)  selenium47: the surge 2 будет ?
23:00:24 (00:03:46) (chat)  Maelochka: wlg5 wlg5 wlg5 wlg5
23:00:24 (00:03:46) (chat)  princessintears: @Mrs_Christ wlgLuv
23:00:24 (00:03:47) (chat)  Mrs_Christ: @jDreamcatcher wlgF
23:00:25 (00:03:48) (chat)  Estirada: Estirada subscribed with Twitch Prime. They've subscribed for 23 months! Я конечно не bZdiggeR, но тож неплоха <3
23:00:30 (00:03:52) (chat)  princessintears: wlg5 wlg5 wlg5 wlg5 wlg5
23:00:31 (00:03:54) (chat)  Sweetiepie66: wlg5 wlg5 wlg5 wlg5
23:00:33 (00:03:56) (chat)  bZdiggeR: igorPeka
23:00:34 (00:03:56) (chat)  Mrs_Christ: @princessintears wlgLuv wlgLuv
23:00:34 (00:03:56) (chat)  Chrom_is: Го гуся!
23:00:37 (00:03:59) (chat)  Mrs_Christ: wlg5 wlg5 wlg5 wlg5 wlg5
23:00:37 (00:04:00) (chat)  Maelochka: wlg5 wlg5 wlg5 wlg5 wlg5
23:00:40 (00:04:03) (chat)  santimentorr: wlg5 wlg5 wlg5 wlg5 wlg5
23:00:41 (00:04:03) (chat)  alenafff: wlg5 wlg5 wlg5 wlg5 wlg5
23:00:44 (00:04:07) (chat)  GlebBio: !caps
23:00:45 (00:04:07) (chat)  wlgboy: @GlebBio вы не можете это сделать, пока находитесь в пустоши.
23:00:48 (00:04:11) (chat)  Mrs_Christ: Да вроде нет
