20:00:32 (00:00:07) (chat)  captainpeachyprincess: BLELELE
20:00:33 (00:00:08) (chat)  Madflayd: wlgHype wlgHype wlgHype wlgHype wlgHype wlgHype wlgHype wlgHype
20:00:35 (00:00:10) (chat)  princessintears: вот это пунктуальность billyReady
20:00:37 (00:00:12) (chat)  GACHI_LORDE: Симулятор ходьбы от Гения Kreygasm
20:00:42 (00:00:17) (chat)  Dygy: ну в смысле, а как же реплей?
20:00:44 (00:00:19) (chat)  bZdiggeR: yandex food
20:00:51 (00:00:26) (chat)  ice_bearrr: bongoTap
20:00:55 (00:00:30) (chat)  doberman4ik_: Опааааааа
20:00:59 (00:00:34) (chat)  doberman4ik_: Что-то пошло???
20:00:59 (00:00:34) (chat)  princessintears: bongoTap
20:01:00 (00:00:35) (chat)  Maelochka: wlgPled wlgPled wlgPled
20:01:01 (00:00:37) (chat)  Mr_Gelo: Яндекс или ДК ?
20:01:01 (00:00:37) (chat)  doberman4ik_: А что тааам??
20:01:02 (00:00:38) (chat)  doberman4ik_: АХхаха
20:01:03 (00:00:39) (chat)  milacha: wlgLuv wlgPizza
20:01:03 (00:00:39) (chat)  forty42two: PogU
20:01:04 (00:00:39) (chat)  doberman4ik_: :DDD
20:01:06 (00:00:41) (chat)  doberman4ik_: Ляяяяяя
20:01:07 (00:00:43) (chat)  Ed_Amosha: BLELELE
20:01:09 (00:00:44) (chat)  doberman4ik_: Я король стрима
20:01:12 (00:00:47) (chat)  doberman4ik_: Держу в курсе
20:01:13 (00:00:48) (chat)  princessintears: добииии BLELELE bleedPurple
20:01:13 (00:00:48) (chat)  grek_gsa: яндекс или деливери ??)
20:01:14 (00:00:49) (chat)  DokerStim: wlgOralb wlgOralb wlgOralb
20:01:15 (00:00:50) (chat)  WELOVEGAMES: добер, не спамь
20:01:21 (00:00:57) (chat)  FaiL7: гениальный контент подъехал
20:01:22 (00:00:57) (chat)  bZdiggeR: igorPeka
20:01:22 (00:00:58) (chat)  Nick_TIRONE: @welovegames wlgBored wlg5
20:01:23 (00:00:58) (chat)  Leona_kiki: ну что, когда там уже leonaWaw
20:01:24 (00:00:59) (chat)  Textolite: wlgOralb wlgOralb
20:01:24 (00:00:59) (chat)  Warrange: Jebaited
20:01:25 (00:01:00) (chat)  xxxKLIFxxx: :O
20:01:25 (00:01:00) (chat)  MiZaro_strim: Привет чат wlgLuv
20:01:26 (00:01:01) (chat)  doberman4ik_: ой всё @WELOVEGAMES
20:01:27 (00:01:02) (chat)  KoT_poluenot: может ещё король аськи?
20:01:32 (00:01:07) (chat)  a_mne_norm: wlgOralb
20:01:33 (00:01:08) (chat)  doberman4ik_: @Leona_kiki Элька wlgLuv
20:01:34 (00:01:09) (chat)  Nick_TIRONE: @doberman4ik_ wlgBored wlg5
20:01:35 (00:01:10) (chat)  kawa_blelele: wlgDen
20:01:36 (00:01:11) (chat)  Casstro11: ееебой
20:01:39 (00:01:15) (chat)  Mr_Gelo: PogChamp Яндекс или Деливри Клаб ??? PogChamp
20:01:40 (00:01:15) (chat)  iMisao: wlg5 wlg5 wlg5
20:01:40 (00:01:16) (chat)  milacha: @WELOVEGAMES благодарю Хранитель за подписку wlgLuv
20:01:45 (00:01:20) (chat)  Zibulon_Petrovich: сказка начинается)))
20:01:47 (00:01:22) (chat)  doberman4ik_: @WELOVEGAMES Вот и не буду Kappa
20:01:50 (00:01:25) (chat)  ChlamydiaEvgrafovna: @MiZaro_strim wlgHype wlgPizza
20:01:51 (00:01:26) (chat)  Leona_kiki: @doberman4ik_ приветик) что у тебя там за депресивные сторисы в инсте
20:01:51 (00:01:26) (chat)  princessintears: gachiPRIDE
20:01:57 (00:01:32) (chat)  KaMyI__I__IeK: HeyGuys
20:01:57 (00:01:33) (chat)  Podgarok: tvjuiceOrc tvjuiceOrc tvjuiceOrc tvjuiceOrc tvjuiceOrc PrideFlag PrideFlag SMOrc SMOrc lolnaniDerp lolnaniDerp lolnaniDerp lolnaniDerp
20:01:58 (00:01:33) (chat)  bobuika: здравствуйте, уважаемые wlgGillette
20:02:01 (00:01:36) (chat)  ice_bearrr: wlgHype
20:02:01 (00:01:36) (chat)  tomminoker74ru: wlgPizza wlgPizza wlgPizza wlgPizza
20:02:03 (00:01:38) (chat)  Caaaspeer: @welovegames 😘😘😘😘😘😘😘😘😘😘
20:02:03 (00:01:39) (chat)  GACHI_LORDE: Kreygasm Kreygasm Kreygasm
