17:02:06 (00:00:30) (chat)  anksi: Kreygasm Kreygasm
17:02:08 (00:00:31) (chat)  ChlamydiaEvgrafovna: wlgGillette
17:02:14 (00:00:38) (chat)  Nick_TIRONE: wlgHype wlgHype wlgHype wlgHype wlgHype
17:03:04 (00:01:28) (chat)  firestorm_cat: wlgHype wlgHype wlgHype wlgHype wlgHype wlgHype wlgHype wlgHype wlgHype
17:03:08 (00:01:31) (chat)  DimanPog: Хай
17:03:11 (00:01:35) (chat)  AlexFAS29: wlgPled wlgPled wlgPled wlgPled
17:03:16 (00:01:39) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
17:03:28 (00:01:51) (chat)  ChlamydiaEvgrafovna: @DimanPog wlg5 wlgHype
17:03:37 (00:02:00) (chat)  Nick_TIRONE: DogePls
17:03:38 (00:02:02) (chat)  WELOVEGAMES: через 15-20 минут старт
17:03:44 (00:02:07) (chat)  Nick_TIRONE: бонготап
17:03:46 (00:02:09) (chat)  annaferrum: Доброго дня!
17:03:48 (00:02:12) (chat)  kawa_blelele: wlgAsm
17:03:50 (00:02:13) (chat)  Skipper_Nemo: !wasteland
17:03:50 (00:02:13) (chat)  wlgboy: @Skipper_Nemo вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 55 минут.
17:03:50 (00:02:14) (chat)  Do4ka1: ураа \\\ :) ///
17:03:55 (00:02:18) (chat)  PriSmerti: wlgHype wlgHype wlgHype
17:03:59 (00:02:22) (chat)  firestorm_cat: wlgMug wlgPled
17:04:02 (00:02:25) (chat)  ChlamydiaEvgrafovna: @annaferrum Добрый wlgHype
17:04:05 (00:02:28) (chat)  Warrange: всем привет TPFufun
17:04:06 (00:02:30) (chat)  elnar88: Всем привет! wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
17:04:16 (00:02:39) (chat)  wlgboy: переходи по ссылке vk.cc/9OYaHK и приобретай новую улучшенную бритву Gillette Fusion 5 ProGlide. Это выбор настоящего мужика. Начни с себя. Ведь гладко в жизни – гладко во всем! С Gillette любая твоя катка будет гладкой.
17:04:19 (00:02:43) (chat)  ChlamydiaEvgrafovna: @Warrange wlgCheers wlgGillette
17:04:21 (00:02:44) (chat)  life_is_anguish: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
17:04:26 (00:02:49) (chat)  Nick_TIRONE: @warrange, @elnar88 wlg5 wlg5 wlg5
17:04:29 (00:02:52) (chat)  IamPlyshkin: wlg5 wlg5 wlg5 wlg5 wlg5
17:04:37 (00:03:00) (chat)  ChlamydiaEvgrafovna: @elnar88 wlgHype wlgLuv
17:04:38 (00:03:01) (chat)  Do4ka1: @welovegames wlgPray
17:04:56 (00:03:19) (chat)  Do4ka1: а у меня лапки wlg5
17:04:58 (00:03:21) (chat)  AlexanderRoman: wlgAsm dangarAXE
17:05:04 (00:03:27) (chat)  elnar88: @ChlamydiaEvgrafovna wlgLuv wlg5
17:05:14 (00:03:37) (chat)  Do4ka1: wlgDance wlgDance wlgDance
17:05:16 (00:03:39) (chat)  IndieWTF: moon2JR Хейхо, зумеры
17:05:16 (00:03:39) (chat)  wlgboy: видеоинструкция по баллам канала от стримера: youtu.be/rK3z4rnQV3Y
17:05:28 (00:03:51) (chat)  Do4ka1: о_о
17:05:31 (00:03:55) (chat)  orcasov: wlgHype wlgHype
17:05:45 (00:04:08) (chat)  AlexanderRoman: !ost
17:05:45 (00:04:08) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
17:05:53 (00:04:16) (chat)  Teodortwitch: wlgDance wlgDance wlgDance
17:06:06 (00:04:29) (chat)  uga4akaugauga: wlgOralb
17:06:07 (00:04:31) (chat)  Nick_TIRONE: !vk
17:06:08 (00:04:31) (chat)  wlgboy: розыгрыши, мемы, игровые новости, анонсы стримов, музыка в нашем сообществе ВКонтакте: vk.com/welovegames
17:06:20 (00:04:44) (chat)  uga4akaugauga: @WELOVEGAMES Добрый день wlgPeka
17:06:44 (00:05:07) (chat)  Warrange: я думал, заказной сабмод действует только на протяжении одного стрима
17:06:54 (00:05:17) (chat)  dezmond774: !uptime
17:07:16 (00:05:40) (chat)  elnar88: Kreygasm LUL еще разок
17:07:19 (00:05:42) (chat)  Do4ka1: эй пустошь как вы там
17:07:20 (00:05:43) (chat)  uga4akaugauga: wlgDance wlgDance wlgDance wlgDance wlgDance
17:07:23 (00:05:47) (chat)  ninnao_0: VoHiYo
17:07:31 (00:05:54) (chat)  Nick_TIRONE: wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance
17:07:32 (00:05:56) (chat)  greenydog: DogePls DogePls DogePls DogePls DogePls DogePls DogePls DogePls DogePls DogePls
17:07:37 (00:06:00) (chat)  ninnao_0: Привет, Люди Добрые VoHiYo wlgLuv TakeNRG
17:07:40 (00:06:04) (chat)  Mutabor_Shooter: DogePls
17:07:42 (00:06:06) (chat)  Do4ka1: BongoTap
17:07:48 (00:06:11) (chat)  surraze: я хачю питсы
17:07:49 (00:06:12) (chat)  Mutabor_Shooter: !up
17:07:55 (00:06:18) (chat)  ChlamydiaEvgrafovna: @Warrange Он будет вечно, пока конечно же кто-нибудь не пожертвует 60к wlgDeer
17:07:59 (00:06:22) (chat)  chessus34: Привет, чатик wlgPled wlgLuv
17:08:01 (00:06:24) (chat)  Mutabor_Shooter: !time
17:08:03 (00:06:26) (chat)  tw_spectator: Ансабы, прорываемся! MrDestructoid
17:08:08 (00:06:31) (chat)  Teodortwitch: @Warrange Что? не слышно вас... громче, дверь очень плотная
17:08:10 (00:06:33) (chat)  ChlamydiaEvgrafovna: @ninnao_0 wlgHype wlgLuv
17:08:14 (00:06:38) (chat)  Do4ka1: SMOrc wlgGillette
17:08:16 (00:06:39) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
17:08:17 (00:06:40) (chat)  Nick_TIRONE: @chessus34, привет
17:08:20 (00:06:43) (chat)  ninnao_0: @ChlamydiaEvgrafovna wlgLuv
17:08:26 (00:06:49) (chat)  life_is_anguish: а успели сабмод завести?
17:08:29 (00:06:53) (chat)  ChlamydiaEvgrafovna: @chessus34 Здравствуй wlgCheers wlgGillette
17:08:34 (00:06:58) (chat)  mr_rikov: Что за музыка?
17:08:50 (00:07:14) (chat)  alleinskiy: ансабы, дарова, дарова
17:08:56 (00:07:20) (chat)  AlexanderRoman: !ost
17:08:57 (00:07:20) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
17:08:58 (00:07:21) (chat)  IndieWTF: moon2POGGYWOGGY stodGUN stodTRASH иду на отлов ансабов
17:09:00 (00:07:23) (chat)  Maxzik: Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm
17:09:03 (00:07:26) (chat)  mr_rikov: !music
17:09:32 (00:07:56) (chat)  AlexanderRoman: @mr_rikov 1:08Модераторwlgboy прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
17:09:33 (00:07:56) (chat)  musicbyrouge: Всем wlg5 wlgLuv wlgPled
17:09:39 (00:08:03) (chat)  ninnao_0: @ChlamydiaEvgrafovna Обнимашкиииииии wlgHype
17:09:43 (00:08:06) (chat)  greenydog: wlg5 wlg5 wlg5 wlg5 wlg5
17:09:45 (00:08:08) (chat)  anksi: апокалиптика path
17:09:47 (00:08:11) (chat)  ChlamydiaEvgrafovna: @musicbyrouge wlg5 wlgHype
17:09:47 (00:08:11) (chat)  Reo_Rus: wlgPeka wlg5
17:09:48 (00:08:11) (chat)  PriSmerti: @musicbyrouge wlg5
17:09:54 (00:08:17) (chat)  Llirikkorty: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
17:09:55 (00:08:18) (chat)  mr_rikov: @AlexanderRoman Благодарю!
17:10:02 (00:08:26) (chat)  musicbyrouge: wlgLuv wlgLuv wlgLuv
17:10:10 (00:08:34) (chat)  Nick_TIRONE: @mr_rikov, path apocalyptica
17:10:11 (00:08:35) (chat)  LionSPb: привет всем! wlg5 wlgOralb wlgPled
17:10:15 (00:08:38) (chat)  ChlamydiaEvgrafovna: @ninnao_0 уиииии wlgPled wlgLuv wlgLuv
17:10:16 (00:08:39) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
17:10:22 (00:08:45) (chat)  musicbyrouge: @LionSPb wlg5 wlgLuv
17:10:25 (00:08:48) (chat)  GameRVS: дадова сабы DendiFace
17:10:26 (00:08:49) (chat)  Llirikkorty: @LionSPb wlg5 wlg5 wlg5 wlg5 wlg5
17:10:26 (00:08:49) (chat)  Nick_TIRONE: @lionspb, приветь
17:10:27 (00:08:50) (chat)  Salorus2: всем наше здарсте 😁
17:10:28 (00:08:51) (chat)  PriSmerti: @lionspb wlg5 wlgDen
17:10:28 (00:08:52) (chat)  LionSPb: @musicbyrouge привет wlg5 wlgOralb
17:10:33 (00:08:57) (chat)  ChlamydiaEvgrafovna: @LionSPb Привет wlgCheers wlgGillette wlgLuv
17:10:34 (00:08:57) (chat)  Nick_TIRONE: @salorus2, wlg5
17:10:35 (00:08:58) (chat)  LionSPb: @llirikkorty привет wlg5 wlgOralb
17:10:42 (00:09:05) (chat)  sta1dler: Всем привет и приятного просмотра
17:10:45 (00:09:08) (chat)  LionSPb: @nick_tirone привет wlg5 wlgOralb
17:10:50 (00:09:13) (chat)  Do4ka1: @lionspb wlg5_HF wlgGillette wlg5
17:10:51 (00:09:14) (chat)  LionSPb: @prismerti wlg5 wlgOralb
17:10:53 (00:09:17) (chat)  ChlamydiaEvgrafovna: @GameRVS wlgGillette wlg5
17:10:58 (00:09:21) (chat)  LionSPb: @salorus2 здравствуй wlg5 wlgOralb
17:11:00 (00:09:23) (chat)  bobuika: !wasteland
17:11:00 (00:09:23) (chat)  wlgboy: @bobuika вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 32 минуты.
17:11:04 (00:09:27) (chat)  LionSPb: @sta1dler привет wlg5 wlgOralb
17:11:08 (00:09:31) (chat)  Llirikkorty: Как я люблю наше комьюнити wlgLuv wlgLuv wlgLuv wlgLuv
17:11:09 (00:09:32) (chat)  LightBringer347: Привет, ребят wlg5 wlgPled
17:11:10 (00:09:34) (chat)  LionSPb: @chlamydiaevgrafovna привет wlg5 wlgOralb wlgFlowers
17:11:13 (00:09:36) (chat)  chessus34: @sta1dler wlg5
17:11:13 (00:09:37) (chat)  ChlamydiaEvgrafovna: @sta1dler wlg5 wlgHype wlgLuv
17:11:15 (00:09:39) (chat)  LionSPb: @lightbringer347 привет wlg5 wlgOralb
17:11:19 (00:09:42) (chat)  Do4ka1: @llirikkorty wlgCry
17:11:19 (00:09:42) (chat)  Nick_TIRONE: @lightbringer347, wlg5 wlg5 wlg5
17:11:22 (00:09:46) (chat)  kozemehu: wlg5 wlg5 wlg5 wlgHype wlgHype wlgHype wlgHype wlg5 wlg5 wlg5 wlgHype добрейшего дняяяяяяяяя
17:11:25 (00:09:49) (chat)  PriSmerti: @lightbringer347 wlg5
17:11:31 (00:09:54) (chat)  Nick_TIRONE: wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance
17:11:31 (00:09:55) (chat)  LionSPb: @kozemehu здравствуй wlg5 wlgOralb
17:11:34 (00:09:57) (chat)  Do4ka1: wlgHype wlgHype wlgHype wlgHype wlgHype
17:11:35 (00:09:58) (chat)  Mutabor_Shooter: о уже сабчат врубили Pog
17:11:36 (00:09:59) (chat)  ChlamydiaEvgrafovna: @LightBringer347 wlgCheers wlgGillette
17:11:47 (00:10:10) (chat)  LionSPb: @mutabor_shooter wlg5 wlgOralb
17:11:47 (00:10:11) (chat)  Llirikkorty: @kozemehu привет! wlg5 wlg5 wlg5
17:11:49 (00:10:12) (chat)  ChlamydiaEvgrafovna: @kozemehu wlgHype wlg5 wlgLuv wlgLuv
17:11:57 (00:10:21) (chat)  LionSPb: @do4ka1 привет wlg5 wlgOralb wlgFlowers
17:12:05 (00:10:28) (chat)  bobuika: wlgAsm wlgAsm wlgAsm
17:12:08 (00:10:32) (chat)  Mutabor_Shooter: @LionSPb wlg5 wlg5 wlg5
17:12:09 (00:10:32) (chat)  schnapsik: @welovegames , чатик всем доброго времени суток! wlg5 wlgLuv wlgFlowers
17:12:11 (00:10:34) (chat)  kozemehu: @LionSPb @ChlamydiaEvgrafovna wlgF
17:12:11 (00:10:35) (chat)  bobuika: вот это музыка
17:12:12 (00:10:35) (chat)  Do4ka1: @lionspb wlgLuv wlgPled
17:12:13 (00:10:37) (chat)  LionSPb: @bobuika здравствуй wlg5 wlgOralb wlgFlowers
17:12:21 (00:10:44) (chat)  LionSPb: @schnapsik привет wlg5 wlgOralb
17:12:21 (00:10:44) (chat)  PriSmerti: @schnapsik wlg5
17:12:26 (00:10:49) (chat)  bobuika: @lionspb питерский igorVjuh wlgMug
17:12:35 (00:10:58) (chat)  ChlamydiaEvgrafovna: @schnapsik Добрый день wlgCheers wlgGillette wlgLuv
17:12:37 (00:11:00) (chat)  Nikonor2006: Да продолжится борьба душности с гениальностью! LUL
17:12:38 (00:11:01) (chat)  LightBringer347: @LionSPb @Nick_TIRONE @PriSmerti @ChlamydiaEvgrafovna wlgPled wlgPled wlgDance wlgF5 wlgCheers wlgCheers wlgCheers
17:12:40 (00:11:03) (chat)  kozemehu: @Llirikkorty wlgF
17:12:45 (00:11:08) (chat)  schnapsik: @lionspb привет wlgDen
17:12:55 (00:11:18) (chat)  Llirikkorty: wlgEz wlgEz wlgEz
17:13:02 (00:11:26) (chat)  LionSPb: wlgPled
17:13:06 (00:11:29) (chat)  nikakoy: kentaroHmmm
17:13:10 (00:11:33) (chat)  ChlamydiaEvgrafovna: Всем приятного аппетита wlgDeer
17:13:13 (00:11:36) (chat)  schnapsik: @prismerti @chlamydiaevgrafovna wlg5 wlgHype
17:13:16 (00:11:39) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
17:13:18 (00:11:42) (chat)  Do4ka1: ))
17:13:19 (00:11:43) (chat)  NikNeim3: wlgGillette wlgGillette wlgGillette wlgGillette wlgNade wlgNade
17:13:24 (00:11:48) (chat)  Refokkusu: @ChlamydiaEvgrafovna Спсибо как раз кушаю!!
17:13:33 (00:11:56) (chat)  PriSmerti: @chlamydiaevgrafovna что кушаем?
17:13:40 (00:12:03) (chat)  RinaRuina: А я доела дыньку
17:13:41 (00:12:04) (chat)  Nick_TIRONE: DogePls
17:13:42 (00:12:05) (chat)  kozemehu: @LightBringer347 wlgFlowers
17:13:53 (00:12:16) (chat)  Do4ka1: !throw wlgNade @ wlgGillette
17:13:53 (00:12:16) (chat)  wlgboy: @Do4ka1 неверная команда. Пример: !throw wlgNade @username
