Дата	Игра	Просм	URL	Название	Preview
16.01.2017 18:11:23	Talk Shows	1462	https://clips.twitch.tv/UninterestedCoyBobaRedCoat	Бомжиха	https://clips-media-assets2.twitch.tv/24256230080-offset-2656-preview-480x272.jpg
03.12.2016 20:51:14	Dota 2	875	https://clips.twitch.tv/WimpySlipperyMilkBabyRage	ЭНЧА, РАЗЛОГИНЬСЯ  	https://clips-media-assets2.twitch.tv/vod-98210897-offset-7766-preview-480x272.jpg
28.03.2017 16:34:51	Dead by Daylight	713	https://clips.twitch.tv/PlausibleEncouragingChickenVoteNay	почему так холодно? ❤️	https://clips-media-assets2.twitch.tv/vod-130203821-offset-2340-preview-480x272.jpg
09.02.2017 22:26:58	Dota 2	608	https://clips.twitch.tv/BenevolentPricklySandstormAMPEnergy	#nomakeup  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24479954672-offset-256-preview-480x272.jpg
19.03.2017 18:03:39	Dota 2	429	https://clips.twitch.tv/ManlyVainHamsterBudStar	❤️ самая красивая на твиче	https://clips-media-assets2.twitch.tv/24831972704-offset-1846-preview-480x272.jpg
24.01.2017 21:43:00	Counter-Strike: Global Offensive	379	https://clips.twitch.tv/SweetCharmingCocoaDatSheffy	2 дня до марафона на др  ˁ˚ᴥ˚ˀ  ( доня пидр)	https://clips-media-assets2.twitch.tv/24330589200-offset-2160-preview-480x272.jpg
27.01.2017 13:01:48	Dota 2	320	https://clips.twitch.tv/CrepuscularFlirtyPotatoPeanutButterJellyTime	♥♥♥С ДНЁМ РОЖДЕНИЯ МЕНЯ♥♥♥ ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/vod-117448952-offset-932-preview-480x272.jpg
28.03.2017 17:30:19	Social Eating	313	https://clips.twitch.tv/LitigiousCharmingDootThisIsSparta	❤️	https://clips-media-assets2.twitch.tv/-861933504-offset-2680-preview-480x272.jpg
28.03.2017 22:33:22	IRL	235	https://clips.twitch.tv/FaithfulExcitedHippoRalpherZ	❤️	https://clips-media-assets2.twitch.tv/24910548336-offset-1370-preview-480x272.jpg
25.03.2017 21:01:18	Dota 2	227	https://clips.twitch.tv/SmellyPoisedCocoaPlanking	❤️	https://clips-media-assets2.twitch.tv/24883194000-offset-780-preview-480x272.jpg
02.04.2017 20:13:53	IRL	220	https://clips.twitch.tv/AmericanAnimatedPineappleCharlieBitMe	принцесса мида	https://clips-media-assets2.twitch.tv/24953320784-offset-1680-preview-480x272.jpg
06.02.2017 14:38:54	Dota 2	193	https://clips.twitch.tv/InterestingPricklyDootVoteYea	Самая тамблер на твиче ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24450879280-offset-1496-preview-480x272.jpg
26.03.2017 22:34:56	IRL	169	https://clips.twitch.tv/AbnegateAdventurousJayHoneyBadger	❤️	https://clips-media-assets2.twitch.tv/24894304816-offset-428-preview-480x272.jpg
14.12.2016 17:21:53	Dota 2	166	https://clips.twitch.tv/ManlySillyYakFUNgineer	Самая грустная на твиче	https://clips-media-assets2.twitch.tv/23929639296-offset-6332-preview-480x272.jpg
01.04.2017 19:38:17	PLAYERUNKNOWN'S BATTLEGROUNDS	144	https://clips.twitch.tv/TenuousCleanRedpandaTheTarFu	Burp	https://clips-media-assets2.twitch.tv/24943243392-offset-704-13-preview-480x272.jpg
27.01.2017 12:49:48	Dota 2	138	https://clips.twitch.tv/UnsightlyHilariousDragonVoteNay	♥♥♥С ДНЁМ РОЖДЕНИЯ МЕНЯ♥♥♥ ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/vod-117448952-offset-260-preview-480x272.jpg
19.01.2017 22:34:15	Counter-Strike: Global Offensive	125	https://clips.twitch.tv/HelplessConcernedSoybeanPrimeMe	7 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24281173040-offset-14690-preview-480x272.jpg
22.03.2017 00:13:40	Counter-Strike: Global Offensive	119	https://clips.twitch.tv/AltruisticNiceStinkbugTheTarFu	❤️	https://clips-media-assets2.twitch.tv/24848186240-offset-21760-preview-480x272.jpg
21.12.2016 16:10:43	Talk Shows	114	https://clips.twitch.tv/SincereToughDumplingsKappaWealth	ˁ˚ᴥ˚ˀ (сигна за саб)	https://clips-media-assets2.twitch.tv/23994134336-offset-1062-preview-480x272.jpg
28.03.2017 17:19:04	Social Eating	107	https://clips.twitch.tv/MoralClumsyStapleDansGame	❤️	https://clips-media-assets2.twitch.tv/24907870272-offset-2012-preview-480x272.jpg
14.02.2017 20:03:41	Dota 2	107	https://clips.twitch.tv/DependableLuckyCiderDendiFace	твоя грустная валентинка  ˁ˚ᴥ˚ˀ  (закос под Нуру из Skam)	https://clips-media-assets2.twitch.tv/24528538800-offset-3036-preview-480x272.jpg
21.03.2017 23:32:03	Counter-Strike: Global Offensive	105	https://clips.twitch.tv/TrustworthyOpenCroquetteChefFrank	❤️	https://clips-media-assets2.twitch.tv/24848186240-offset-19264-preview-480x272.jpg
09.02.2017 23:01:05	Dota 2	105	https://clips.twitch.tv/FlaccidZanyCrabTBTacoLeft	#nomakeup  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24479954672-offset-2300-preview-480x272.jpg
27.03.2017 19:33:58	Social Eating	104	https://clips.twitch.tv/AbstemiousOutstandingSwanNotATK	❤️	https://clips-media-assets2.twitch.tv/vod-131586613-offset-680-preview-480x272.jpg
16.01.2017 18:05:13	Dota 2	98	https://clips.twitch.tv/TenuousOilyIguanaTwitchRPG	10 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24256230080-offset-2284-preview-480x272.jpg
29.03.2017 19:19:23	Counter-Strike: Global Offensive	90	https://clips.twitch.tv/HumbleProductiveCoyoteOSsloth	❤️ КТО С НЕЙ В ПАТИ?	https://clips-media-assets2.twitch.tv/24915644592-offset-12048-preview-480x272.jpg
02.04.2017 20:10:15	PLAYERUNKNOWN'S BATTLEGROUNDS	87	https://clips.twitch.tv/SeductiveDaintyAlmondStoneLightning	No makeup	https://clips-media-assets2.twitch.tv/24953320784-offset-1468-preview-480x272.jpg
16.02.2017 11:48:28	Dota 2	87	https://clips.twitch.tv/AmorphousSparklyTigerKevinTurtle	СПАСИБО ЗА 16 ЛИМОНОВ ПРОСМОТРОВ мышка  ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24542470272-offset-490-preview-480x272.jpg
